1	-215.45701924425484,-294.51484458201355,364.5712205646779,433.6784846281679,-349.4485085053531,-334.01177648534144,88.8934303337432,256.942533411948,222.5227382929517,-150.07157576975283,73.71090888465652,18.80102965295496,-122.88653750298039,46.42299607270633,-144.42294435374416,2.686938179636082,53.9083915094223,10.12054830034296,-15.71920041848836,51.51463741940275,-7.677259296161598,-53.35574343721631,60.507029867649,40.23078288730924,48.74768213308669
2	675.6152873907861,-435.6539040665211,280.2728904427672,109.8748136526959,91.49294721438689,-296.1337265574262,-197.2102083852642,-18.622085769498355,-244.39486813333514,10.101187448629943,-164.54628027735131,-76.92160782973309,59.07021431261329,-54.093643444093075,75.44547798219561,39.775571389634884,-20.741367707787585,-55.17784184498522,-33.3936895218481,-31.9864161373017,-13.425205966734163,2.0136070996084925,21.320803859248137,43.87082037153894,-30.503846565888185
3	-252.28272301688526,51.80392288147719,279.1576347862328,551.1177651244499,-217.17565308018254,514.3094456337482,146.59009406412613,-103.21470959298907,20.3700227037989,115.07759212566455,-79.62642729591096,-62.00764026677959,86.6813401415496,-53.60996053492723,-4.248774018955765,-42.393279787077084,-82.24701604782508,-48.82445974014683,50.305874435462066,-57.433125859540105,16.5533342287923,54.870557626918085,-7.034382512297479,-20.736919571563163,11.76028185814133
4	254.8092442156438,578.793192421351,207.40202738408396,-291.51778187994483,40.61482418102719,-162.27824840633986,150.42239612671185,-13.945067958305726,44.578823022584174,257.5436084730497,-13.91563449844431,17.08207206297925,-64.91362733793179,20.582350145258754,-24.79039830455588,17.252292780112278,-29.88378455458441,0.2737666753006958,35.21097763908995,3.00417518615952,33.61434309879237,-43.074412867941106,-37.15251671127578,4.588177815699216,15.517797594296576
5	-952.9385468348678,-161.19620507201086,546.6624522961413,-354.47403362526677,405.3587126477948,230.79940663818329,-80.67490036636676,166.06660408530172,-143.3933336892592,-64.86602605939335,-69.77626420054851,-14.982984747500392,-93.1463902806538,-42.41317743322946,43.01644345307999,-36.77500410966173,88.56226711006656,-64.90598593396591,-11.178981246860063,-0.49070906145267124,-6.955083372517441,39.93913954897391,75.6622370660719,-48.24011738513844,-30.374352096014814
6	-1077.7716896566096,-212.5811234030823,-236.15691194582215,124.2861325795889,666.9595875932404,-351.71914848297206,154.5031930747151,-324.6967418259537,-6.564747138266782,-108.3305556168382,-91.334149219266,70.4397141981864,-51.26755929723362,116.23566250209288,-20.25487036922658,16.865480913020196,-105.18113300817296,24.438999677351376,-48.10201224476736,59.95349355355341,44.43682574770397,-0.07527167995658225,-82.56035769897836,14.29595319254504,-38.69233815401795
7	-43.773504370843625,-191.28797773841856,100.36112967639004,-516.5069576163521,-289.44565484284277,-32.29652061730482,-126.24889639628738,-150.4683934500794,140.63977053873342,-137.09616064148895,42.15492259171164,2.6561564918393685,134.58029720811564,21.76147442136587,13.422039154702075,36.31878734689529,-61.13390511358946,-36.347268375211236,2.669196386954317,-30.738176907365784,0.25639787859082236,34.46258369608018,-61.94990856483127,-19.700877996061347,-9.511891744297234
8	24.99676573512602,622.3274149740859,-345.621684303189,176.6017027041618,-33.697137862583105,13.510027205482984,-203.2388363843179,123.10712694344214,-101.07619772077355,-194.73011305829306,-31.28610722334362,-18.245073590255867,7.87464047767112,-25.368967207408947,21.030323691746197,-15.04296971387513,13.585076246085737,55.83925306158548,-13.924490401855968,21.21990752592443,-42.97606773948373,11.463263023911248,22.42279813483892,-24.44500078562778,-43.29802963621441
9	-218.57001718602672,-459.6803485056751,-645.0328547628483,-129.28353562322727,-107.73102299841628,83.84161384803865,-53.98042701525855,114.69983461545353,-25.290925165912967,217.53485914082935,72.77332335539276,-42.06953064855198,-17.90290263783284,-6.499070340504203,-38.553871552887045,17.841694237598418,59.74593653229269,13.534195848534905,14.137534589918518,-35.26705985458073,-8.16923513681973,-7.479257763669718,-20.497680002652857,39.392133702142395,33.42441879851839
0	739.0095405809421,-230.50577647428182,-64.29698784204656,56.80841188554116,272.9567091971248,253.63510907634478,228.46910549126432,-140.0880777868764,67.88381624403702,-117.03337111398727,182.06826615387808,136.89604935205446,-7.669903861733753,8.478742123266633,72.83027574572876,-50.79229585567713,85.05052827234651,52.06641938196581,-24.32248033542248,58.25328528471579,10.60401627424355,-16.532210425685072,51.91884694206829,-27.21833132636747,26.648861797021144
