x = 0.05
0	1547	77	9	541	34.97
1	1102	55	8	588	53.36
2	494	24	0	449	90.89
3	801	40	2	709	88.51
4	927	46	6	794	85.65
5	546	27	0	421	77.11
6	855	42	1	468	54.74
7	1423	71	7	602	42.30
8	1311	65	3	694	52.94
9	994	49	1	661	66.50
Total	10000	496		5927	59.27


x = 0.1
0	1547	154	9	541	34.97
1	1102	110	8	588	53.36
2	494	49	0	449	90.89
3	801	80	2	709	88.51
4	927	92	6	794	85.65
5	546	54	0	421	77.11
6	855	85	1	468	54.74
7	1423	142	7	602	42.30
8	1311	131	3	694	52.94
9	994	99	1	661	66.50
Total	10000	996		5927	59.27


x = 0.5
0	1547	773	9	541	34.97
1	1102	551	8	588	53.36
2	494	247	0	449	90.89
3	801	400	2	709	88.51
4	927	463	6	794	85.65
5	546	273	0	421	77.11
6	855	427	1	468	54.74
7	1423	711	7	602	42.30
8	1311	655	3	694	52.94
9	994	497	1	661	66.50
Total	10000	4997		5927	59.27


x = 1
0	1547	1547	4	558	36.07
1	1102	1102	8	588	53.36
2	494	494	0	449	90.89
3	801	801	2	709	88.51
4	927	927	6	794	85.65
5	546	546	0	421	77.11
6	855	855	1	468	54.74
7	1423	1423	7	602	42.30
8	1311	1311	3	694	52.94
9	994	994	1	661	66.50
Total	10000	10000		5944	59.44


