1	233.1901585364778,637.7082673014202,-262.85185206002643,-165.68366340755722,-50.26571124055033,98.13998097334982,17.589757207134124,62.61801310484706,29.826670101812528,-189.0455563062497,-147.77221162750806,104.25293263358294,-39.324062567091474,81.37900533114923,-36.66099787615229,-28.124218285707737,3.1252712519332486,-6.159109395923506,-19.402546379310458,-69.41135457796983,-71.59728416340656,18.71400101108556,67.59377710077409,62.91649020078912,-30.609882261608437
2	-160.09727112865193,543.5440620404938,-273.55302314030973,495.0663538622086,24.068984771680608,-119.76985932440701,-239.5827460423602,111.14483964424902,-181.35592751260953,-79.93838839348712,92.92229381958248,-29.285820310159966,30.86910933216116,-71.53133826419017,81.79271721968658,-35.95262136226727,-4.264431680392443,63.241313533847425,28.96021815687515,31.19949307778012,30.47742259510906,13.35472696817728,-55.524785917695716,-81.7972775419688,-3.2878013824104757
3	-107.4591747876529,-214.78903959921033,172.6121563120364,-540.0994133380095,-248.45792641053754,10.902310075447005,-135.70644439472446,-66.1976802838778,119.77097611919676,-124.57196446427237,42.45673611280692,11.268685025641597,117.7328592805832,19.971707089485772,13.097916492890294,18.6618040920413,-69.36293609279699,-34.88290789379106,2.0867207719409167,-35.54777782499103,-16.233038367410607,14.884164946122384,-53.77535614927776,-32.28438949003392,-7.6524280306160755
4	754.3733435062672,-264.0501024951527,-47.75910844485836,65.98272011931059,285.95358005190246,245.5207836519182,232.29636017387,-145.3717307553304,65.99109180186413,-104.77116675213007,191.62869201006808,129.9094699053478,-9.313998933107461,3.773876711250983,92.66464148790196,-48.55989369952665,84.90785779086237,61.92134105745029,-27.647265268837828,69.15832740299881,17.18621944862638,-17.708226956590263,50.89825413630782,-34.398626321296774,32.75171763411144
5	-217.57231642428678,-443.26924446964983,-646.5234640871728,-121.37384089705417,-116.57552751755146,62.403596249980275,-52.83050458248814,91.59847608712725,-25.361977900745963,206.63848615280608,70.80834626224872,-50.29652021326609,-13.945901857097612,-2.9094765952310353,-35.70390773228851,27.51881927990138,58.6246542797542,9.429850794940291,5.6039250953246045,-35.590530334178894,-1.7368658338004512,-7.7714471605096485,-14.806282739539293,36.88753829006131,29.82906901899771
6	675.0445713103892,-452.77359743092484,283.47719964894173,114.97857274318939,82.15997633621942,-310.8678308937789,-207.7511686553603,-14.854251986167522,-249.09776722432701,-4.001150326213065,-173.39818042448155,-72.61849604185494,69.80808022670013,-47.79314191440166,76.09599684909927,32.60459034679818,-19.72611171149431,-60.35706645104758,-35.46657836187842,-39.3625538186909,-10.64954799723343,-3.0701266752045395,22.868512827712138,48.02420620717118,-28.4361724213578
7	-1129.3697070971575,-189.53330363364756,127.25232299399647,-112.5549491515369,623.3340519897705,-107.21240003475305,60.04465093183151,-161.70247671740634,-77.20835923971197,-118.58855849578512,-101.7060695749293,39.65850228233367,-83.90058098291334,26.818639233275086,7.442220088319936,-4.4826883925147065,2.2207028703828,-23.700996592753885,-14.58204345821727,54.70094724605764,34.102074609744236,33.4972158835865,-12.083820360556226,-1.3321914715083125,-35.14630495231819
8	236.3895472858401,520.279790447144,329.05504643987194,-287.8950698987076,44.77190749554155,-231.07478227896397,128.3821533434065,-43.02583293530151,10.969479124462756,349.6455509868417,26.19322091343528,-51.22601212703229,-32.74527671838846,-28.91840035095409,-35.85394728899747,57.886790791497106,-19.320695809591502,8.704825552905238,30.04439519028935,62.19841235277163,23.379462380748926,-32.18475894400855,-59.58839908609972,-34.51789250024775,-2.9465424475117077
9	-253.63179738955876,11.47798440067261,324.61860502061234,474.7137259887708,-240.90654240944832,589.5723539260583,139.29396389477384,-92.72654760264439,28.100156766786768,104.1220129333359,-86.73267403658409,-107.55791528683993,65.55366778343851,-47.24465384174205,-10.26434985609384,-44.043945177965355,-84.87927746420509,-30.868158652067752,35.8287182225703,-47.334794652151174,28.785563657749712,33.4930569258033,9.02974932910729,-6.6542963469994465,-3.0891728514738555
0	-221.04199220522767,-309.88673959990575,366.25669525978003,417.99623221168156,-351.29276447519766,-322.82674305533004,94.73605112056491,261.9131037622462,217.24478622640555,-149.29859344245727,67.82494024822454,21.170671742761396,-124.51222840541588,48.747884839208425,-147.235129794974,2.580079155624935,52.447523070146694,14.54798483674765,-17.87339973988532,51.011533025589046,-14.809208319774156,-58.33901696546571,68.08565074792399,38.82803897384869,47.58025289692371
