1	-217.1775919281699,-450.20037711238956,-651.9677141834395,-125.61932961870761,-104.50938074158816,77.48466412775313,-64.87155569309398,106.71198407110151,-26.414148024776182,224.12968847983166,80.15015806942652,-44.373239721714164,-19.470740939300452,-7.895016903481109,-42.18981300597118,9.97722783379263,57.74087927089932,9.42016510312887,10.450046827133828,-43.35949998478684,-7.660381485474603,-4.752978872429651,-17.698098148666425,38.69485532678797,30.82215784084783
2	-1091.86217368,-217.177563327,-238.401776067,102.578245085,664.326902342,-353.303742851,150.748736549,-331.457832614,-8.9198754246,-111.333277133,-91.7739978603,61.0889514542,-58.1582843803,119.796616566,-15.8816213737,14.3348312723,-97.9867472804,25.649676984,-45.8291061205,60.6375627723,41.630443542,-3.6706152132,-80.3618899979,14.5433845729,-37.6888209446
3	661.5021309318128,-423.73893484868506,296.2890644326961,102.70876815036463,93.53040415362175,-293.87628424620897,-211.3742355646642,-12.074796927419804,-244.53715206070447,10.576663402986103,-158.71083150853684,-73.01335834936344,69.72552414399044,-46.44725350112801,59.675150515182075,38.74877499648187,-22.721603184822133,-58.38827744750259,-32.788972546094456,-32.73461458137038,-16.435320398626125,-1.9298851161700872,21.985756088588992,42.64560678657978,-29.39395684737502
4	256.3033152261975,578.6865462453787,206.31388522239678,-291.9994395234382,42.863197635905514,-160.0296970850142,146.91237905167768,-15.19946975207359,46.718161279790564,258.69416845231075,-15.180964198450509,17.038059751693986,-66.58234851084917,21.931336176961988,-25.736436393720293,15.777876325881248,-31.458302382638898,1.5377396942164023,36.167236315109946,4.604793802934874,34.07062441388937,-41.655020062752605,-38.049448052276965,4.160643677469565,14.381841578962677
5	-231.803703306,36.2172846615,278.688396759,534.607641054,-209.903087893,521.304439103,138.243540474,-92.203698442,20.1931163349,110.208031393,-74.3675044907,-68.8526948786,84.849053177,-45.931393757,-3.80926416747,-38.7557028391,-94.2640291461,-46.3814015943,46.1690834984,-57.0845801595,20.9244388549,51.684074002,-7.00330926141,-24.226023012,8.38979416123
6	-42.385365454605704,-193.93546009643978,100.38188092663911,-520.2585843929459,-298.8549178631407,-44.41585224763084,-125.81247717884098,-151.8036600730468,147.15582073891608,-138.24283179880874,47.08012340849709,3.628820643608589,134.98229308435677,25.757164624781456,18.49501078038229,30.22269907762474,-54.948718263430685,-36.182408443130534,4.0659158384489205,-28.0446717137015,0.5759020132410775,37.21565584344976,-63.4147429924679,-22.101416428330584,-14.137514289291307
7	21.5467504078,619.420606093,-340.907978092,183.021596388,-27.4106230232,13.5685003783,-202.342684722,123.627597008,-102.347112892,-192.763412819,-29.7143485607,-23.2199750635,8.97030297208,-21.7690455254,22.5308590935,-16.1306454539,16.7004385107,52.0692313634,-12.578143585,22.6430066798,-42.2530458179,11.1724004325,19.9615631476,-23.7884534839,-44.8434850101
8	-920.972732495032,-161.02363166549438,562.3970096384566,-357.1173183647269,405.80744247653746,227.51570212112202,-89.74144532291923,187.72746365315817,-149.83415722223134,-62.49581022792271,-61.482298924620075,-7.7298050435766035,-92.04012315298131,-47.70012710284316,30.375849038216803,-31.99718785457259,87.54141964242348,-59.95495808883812,-15.285491941367502,-4.484898536122524,-10.294161726304196,41.464225588031084,78.33108372161864,-44.54353949245724,-26.739569712572695
9	-211.601092287399,-300.4180688802839,352.1487508542755,434.0035759723462,-340.136091131724,-330.47243295532337,88.25927590218957,253.26994903381353,223.23142618367422,-146.24319302956678,74.0222848663136,24.439623477790537,-121.13534267861274,50.30838799817284,-144.5520542212053,6.093950673468847,45.691455487422175,15.901118177826163,-13.133805573113726,51.14395622527913,-14.223982210854816,-50.21199660847464,64.74166751937553,37.94111125483402,47.0102415122417
0	742.9443811605798,-232.26960434856394,-64.9116304442277,55.3934377773217,275.04687601562927,245.60974736790266,224.72541565898135,-142.8632036256451,65.11449609209075,-111.97141898637,176.8263258768892,132.86676805311876,-12.77759188281354,6.327920015875721,76.25112078474868,-51.06260280221711,84.01512642878647,49.90837672834469,-25.51100625194857,56.693955476534235,12.599599740944262,-17.01604771546341,50.811684760253165,-26.79923645798157,25.620479525156888
