Centroid 0: [-1100.86, -230.51, -247.29, 95.03, 663.14, -356.31, 153.94, -339.35, -1.09, -108.39, -95.96, 62.55, -62.91, 125.52, -16.57, 19.70, -100.45, 29.41, -47.05, 61.99, 37.01, -7.76, -79.51, 15.33, -38.72], 3141
Centroid 1: [-201.70, -440.47, -650.91, -126.41, -102.17, 81.86, -62.87, 102.20, -22.49, 212.07, 81.92, -47.05, -16.94, -11.34, -43.44, 16.22, 58.25, 6.78, 9.28, -37.66, -5.13, -2.67, -20.70, 36.70, 32.82], 7879
Centroid 2: [-195.30, -318.16, 362.55, 417.96, -343.45, -330.84, 77.23, 257.18, 222.76, -144.36, 59.99, 26.92, -113.93, 51.08, -143.68, 6.50, 44.70, 16.60, -13.88, 49.65, -19.14, -57.42, 69.59, 37.29, 48.11], 5005
Centroid 3: [-216.81, 4.12, 307.59, 475.34, -235.17, 588.47, 126.97, -89.35, 35.39, 100.83, -78.46, -110.05, 72.35, -43.05, -9.70, -37.54, -99.23, -31.14, 38.64, -45.73, 32.39, 33.66, 4.33, -9.29, -4.31], 5597
Centroid 4: [256.40, 611.86, -261.73, -163.25, -21.67, 105.27, 32.64, 68.38, 41.07, -182.90, -139.13, 99.24, -35.60, 85.10, -45.26, -31.68, 3.40, -15.44, -13.23, -72.74, -64.20, 14.11, 62.12, 64.32, -31.96], 7642
Centroid 5: [-159.49, 567.33, -283.98, 474.07, 6.66, -112.88, -253.22, 114.49, -184.22, -89.59, 90.75, -39.37, 25.45, -76.24, 84.78, -34.53, 1.46, 66.46, 25.52, 38.68, 28.10, 9.05, -46.18, -81.03, -5.97], 5672
Centroid 6: [-42.68, -212.10, 128.86, -524.56, -297.32, -53.67, -134.94, -141.77, 140.31, -136.16, 52.33, 8.57, 140.70, 29.58, 14.25, 19.74, -58.50, -32.35, 7.59, -32.47, -6.49, 31.46, -64.35, -27.93, -12.53], 6643
Centroid 7: [-945.63, -159.50, 557.52, -357.16, 424.14, 221.74, -88.31, 174.97, -146.01, -66.21, -66.07, -6.31, -93.49, -51.14, 35.03, -36.99, 93.23, -65.69, -12.22, 0.92, -7.83, 46.17, 79.13, -44.57, -29.26], 3299
Centroid 8: [738.62, -363.71, 104.74, 99.94, 212.86, -14.34, 29.46, -87.72, -84.27, -56.32, 18.82, 34.27, 17.51, -27.18, 98.57, -10.74, 32.35, 2.67, -34.77, 15.25, 5.89, -13.90, 39.71, 4.83, 4.01], 10793
Centroid 9: [246.02, 505.75, 335.69, -278.23, 48.16, -225.01, 105.40, -43.91, 4.56, 351.30, 19.54, -47.67, -30.39, -24.74, -44.90, 61.41, -18.98, 9.96, 32.12, 67.00, 24.43, -30.40, -59.25, -33.35, -3.07], 7329
