x = 0.05
0	497	24	0	452	90.95
1	1321	66	3	707	53.52
2	817	40	2	713	87.27
3	869	43	6	730	84.00
4	1325	66	9	481	36.30
5	900	45	4	379	42.11
6	1035	51	8	570	55.07
7	526	26	0	416	79.09
8	1652	82	1	1101	66.65
9	1058	52	7	419	39.60
Total	10000	495		5968	59.68


x = 0.1
0	497	49	0	452	90.95
1	1321	132	3	707	53.52
2	817	81	2	713	87.27
3	869	86	6	730	84.00
4	1325	132	9	481	36.30
5	900	90	4	379	42.11
6	1035	103	8	570	55.07
7	526	52	0	416	79.09
8	1652	165	1	1101	66.65
9	1058	105	7	419	39.60
Total	10000	995		5968	59.68


x = 0.5
0	497	248	0	452	90.95
1	1321	660	3	707	53.52
2	817	408	2	713	87.27
3	869	434	6	730	84.00
4	1325	662	9	481	36.30
5	900	450	4	379	42.11
6	1035	517	8	570	55.07
7	526	263	0	416	79.09
8	1652	826	1	1101	66.65
9	1058	529	7	419	39.60
Total	10000	4997		5968	59.68


x = 1
0	497	497	0	452	90.95
1	1321	1321	3	707	53.52
2	817	817	2	713	87.27
3	869	869	6	730	84.00
4	1325	1325	9	481	36.30
5	900	900	4	379	42.11
6	1035	1035	8	570	55.07
7	526	526	0	416	79.09
8	1652	1652	1	1101	66.65
9	1058	1058	7	419	39.60
Total	10000	10000		5968	59.68


