1	751.5064315875755,-365.5771213969891,82.34253709205773,104.76743516369551,220.71491610982702,-3.19911720198899,48.53674721592687,-95.4350291457589,-74.59215538591646,-60.4480105082677,19.093504947508148,33.17787124123711,7.230771172195803,-35.05602339316211,109.65364764629729,-12.742548985058509,36.87647954065519,6.400963114547276,-37.03559956427122,16.181422586854573,8.756856634089933,-10.63733840153742,38.76182675554534,6.696658312650819,1.1124910626733486
2	-204.05375449914817,-334.56225452592645,340.47030065870393,414.38320012371196,-361.7445739694782,-330.07197469472305,92.15381820802602,253.46982913421797,241.3605397211286,-146.15163174994962,51.615441903581896,28.352567576565306,-121.3485719141073,50.89319857824403,-137.02212154892678,10.609908591055968,41.30395334146359,21.336037360833014,-7.423522446939857,53.76962893867124,-18.811160942147847,-58.868552181705574,67.48223501307892,34.852072010772986,39.69829852992505
3	-199.59226544873616,-422.5548346017244,-594.610354149025,-184.05789565424212,-145.79366306192458,71.0472552353236,-82.09118013526951,87.61393600668933,11.836611953159826,158.5514804288713,68.3865776150312,-42.83499788735018,0.19280263190891436,-28.562846981105416,-27.74112748777847,20.16910625556303,47.69723210203489,1.2299489229172107,2.393741441059766,-27.53436089756457,11.646461661540558,-2.615889903599984,-35.25617587880729,27.81990425621998,27.58814928400568
4	-210.6161795506771,0.15936093796462075,307.9465140261463,469.60059782987514,-238.79548671512845,600.1888934976233,125.60679299109901,-90.85143227479777,46.64913539689587,101.97886491090422,-76.57580257497395,-120.14509604431062,71.89990311879599,-42.76390308142512,-7.517174536271387,-38.327319832135906,-102.70347972398216,-27.709168196260485,38.636764885433706,-42.84912586563982,35.9451260018336,32.330509402259516,4.70103082744485,-8.057509992418519,-9.782697288671606
5	-879.3303025768411,-170.53054441048434,552.3003145351713,-369.80786397176826,366.09313764406335,239.30227676919282,-99.5931008275429,204.2161192255106,-139.50555779109644,-61.837225816537156,-50.388686328678105,-9.691189229509455,-89.00393952103121,-55.90250419449678,26.82111741068372,-31.091303101191706,75.70659453778443,-56.354094699355585,-16.467234693625823,-13.19582861567396,-13.48381674440676,36.35656189249145,77.71260799341974,-43.989529034669474,-21.189810640367917
6	-187.3259002595887,572.0465587714436,-249.13965740619176,486.3129866566127,41.93855794646768,-129.02965547406836,-218.5760187551179,121.08288496851927,-173.29328171767324,-57.20690737305095,107.55799491434641,-21.31194605449575,55.739675243311176,-68.03057003184655,107.26614606547932,-40.52592369392416,-0.18948687446295,61.92349541682342,30.828403687177452,23.929379359047367,36.89465928765838,15.47667579063976,-46.58617089763189,-64.74849090121754,-0.8538518319303267
7	235.02611453174538,647.5702700592874,125.35047614063726,-347.739409291415,157.61519448273623,-274.5912863179393,338.6382135326512,121.62198809012439,92.5350433478106,242.55654969611584,-5.492855398979991,-79.7284482971451,-16.74515817024858,-10.173635075077284,20.54495886595675,6.353932559350006,-59.31174654096417,-5.7427036276558034,28.58944565388645,-6.64075310707991,39.17771273134518,-75.14355511987925,-43.61884559939152,4.409352099745997,30.56791156700883
8	126.28521166278496,-28.434991212662105,369.71691433002275,-400.2693438100096,-188.31048672261824,-117.95631834399558,-152.9070645497604,-165.7469798795308,14.899373439749908,44.37403937339228,64.6474309627269,8.425445859599137,125.84616688031525,68.56343570279229,-57.659960280287066,37.977465183932416,-41.55924570020324,-25.374992656322632,24.230521498529406,4.457323422464839,-31.324414553558135,35.024037890339685,-41.017972108735535,-31.67841028665756,-15.821628196941978
9	259.7116067362129,559.9625502842138,-247.71392439128303,-106.50201965925818,-104.40753355764207,146.75257640738954,-90.10135682553799,-22.005146982879157,7.933351309010146,-186.14084095061915,-151.95676192761172,114.505485504367,-82.28152582867186,58.82295736377789,-77.17309846012101,-4.13294948066779,27.335425937061736,-8.952321050950419,-21.834989340930605,-34.547418272617435,-76.55954490257787,25.98151428262029,51.300321605158466,30.566568496816636,-46.01124083192828
0	-1113.8047300897651,-229.7939520158566,-224.56408278959125,74.47543452871942,666.5568744556363,-337.64953708324896,149.82236402697856,-334.96798967306836,-6.278809729623741,-112.55273182442129,-103.58169592421501,60.95666960846532,-63.84878363988955,114.09112166585125,-16.711239105930325,16.15844212600262,-91.10988847962201,28.39357398823311,-40.92746487900815,64.3517795576772,37.303897513549316,-4.746180085773136,-75.44377981288851,14.684080571656416,-36.93172402672706
