Centroid 0: [-1113.80, -229.79, -224.56, 74.48, 666.56, -337.65, 149.82, -334.97, -6.28, -112.55, -103.58, 60.96, -63.85, 114.09, -16.71, 16.16, -91.11, 28.39, -40.93, 64.35, 37.30, -4.75, -75.44, 14.68, -36.93], 3151
Centroid 1: [751.51, -365.58, 82.34, 104.77, 220.71, -3.20, 48.54, -95.44, -74.59, -60.45, 19.09, 33.18, 7.23, -35.06, 109.65, -12.74, 36.88, 6.40, -37.04, 16.18, 8.76, -10.64, 38.76, 6.70, 1.11], 9878
Centroid 2: [-204.05, -334.56, 340.47, 414.38, -361.74, -330.07, 92.15, 253.47, 241.36, -146.15, 51.62, 28.35, -121.35, 50.89, -137.02, 10.61, 41.30, 21.34, -7.42, 53.77, -18.81, -58.87, 67.48, 34.85, 39.70], 4612
Centroid 3: [-199.59, -422.55, -594.61, -184.06, -145.79, 71.05, -82.09, 87.61, 11.84, 158.55, 68.39, -42.83, 0.19, -28.56, -27.74, 20.17, 47.70, 1.23, 2.39, -27.53, 11.65, -2.62, -35.26, 27.82, 27.59], 8795
Centroid 4: [-210.62, 0.16, 307.95, 469.60, -238.80, 600.19, 125.61, -90.85, 46.65, 101.98, -76.58, -120.15, 71.90, -42.76, -7.52, -38.33, -102.70, -27.71, 38.64, -42.85, 35.95, 32.33, 4.70, -8.06, -9.78], 5265
Centroid 5: [-879.33, -170.53, 552.30, -369.81, 366.09, 239.30, -99.59, 204.22, -139.51, -61.84, -50.39, -9.69, -89.00, -55.90, 26.82, -31.09, 75.71, -56.35, -16.47, -13.20, -13.48, 36.36, 77.71, -43.99, -21.19], 3230
Centroid 6: [-187.33, 572.05, -249.14, 486.31, 41.94, -129.03, -218.58, 121.08, -173.29, -57.21, 107.56, -21.31, 55.74, -68.03, 107.27, -40.53, -0.19, 61.92, 30.83, 23.93, 36.89, 15.48, -46.59, -64.75, -0.85], 5453
Centroid 7: [235.03, 647.57, 125.35, -347.74, 157.62, -274.59, 338.64, 121.62, 92.54, 242.56, -5.49, -79.73, -16.75, -10.17, 20.54, 6.35, -59.31, -5.74, 28.59, -6.64, 39.18, -75.14, -43.62, 4.41, 30.57], 5381
Centroid 8: [126.29, -28.43, 369.72, -400.27, -188.31, -117.96, -152.91, -165.75, 14.90, 44.37, 64.65, 8.43, 125.85, 68.56, -57.66, 37.98, -41.56, -25.37, 24.23, 4.46, -31.32, 35.02, -41.02, -31.68, -15.82], 7337
Centroid 9: [259.71, 559.96, -247.71, -106.50, -104.41, 146.75, -90.10, -22.01, 7.93, -186.14, -151.96, 114.51, -82.28, 58.82, -77.17, -4.13, 27.34, -8.95, -21.83, -34.55, -76.56, 25.98, 51.30, 30.57, -46.01], 6898
