x = 0.05
0	514	25	0	471	91.63
1	1591	79	1	1083	68.07
2	804	40	2	723	89.93
3	1558	77	3	776	49.81
4	840	42	6	716	85.24
5	562	28	0	403	71.71
6	879	43	4	368	41.87
7	841	42	7	577	68.61
8	1123	56	8	468	41.67
9	1288	64	9	526	40.84
Total	10000	496		6111	61.11


x = 0.1
0	514	51	0	471	91.63
1	1591	159	1	1083	68.07
2	804	80	2	723	89.93
3	1558	155	3	776	49.81
4	840	84	6	716	85.24
5	562	56	0	403	71.71
6	879	87	4	368	41.87
7	841	84	7	577	68.61
8	1123	112	8	468	41.67
9	1288	128	9	526	40.84
Total	10000	996		6111	61.11


x = 0.5
0	514	257	0	471	91.63
1	1591	795	1	1083	68.07
2	804	402	2	723	89.93
3	1558	779	3	776	49.81
4	840	420	6	716	85.24
5	562	281	0	403	71.71
6	879	439	4	368	41.87
7	841	420	7	577	68.61
8	1123	561	8	468	41.67
9	1288	644	9	526	40.84
Total	10000	4998		6111	61.11


x = 1
0	514	514	0	471	91.63
1	1591	1591	1	1083	68.07
2	804	804	2	723	89.93
3	1558	1558	3	776	49.81
4	840	840	6	716	85.24
5	562	562	0	403	71.71
6	879	879	4	368	41.87
7	841	841	7	577	68.61
8	1123	1123	8	468	41.67
9	1288	1288	9	526	40.84
Total	10000	10000		6111	61.11


