x = 0.05
0	489	24	0	421	86.09
1	474	23	0	432	91.14
2	926	46	6	797	86.07
3	1564	78	9	549	35.10
4	895	44	3	487	54.41
5	780	39	2	706	90.51
6	1448	72	7	614	42.40
7	918	45	3	377	41.07
8	1689	84	1	1105	65.42
9	817	40	8	543	66.46
Total	10000	495		6031	60.31


x = 0.1
0	489	48	0	421	86.09
1	474	47	0	432	91.14
2	926	92	6	797	86.07
3	1564	156	9	549	35.10
4	895	89	3	487	54.41
5	780	78	2	706	90.51
6	1448	144	7	614	42.40
7	918	91	3	377	41.07
8	1689	168	1	1105	65.42
9	817	81	8	543	66.46
Total	10000	994		6031	60.31


x = 0.5
0	489	244	0	421	86.09
1	474	237	0	432	91.14
2	926	463	6	797	86.07
3	1564	782	9	549	35.10
4	895	447	3	487	54.41
5	780	390	2	706	90.51
6	1448	724	7	614	42.40
7	918	459	3	377	41.07
8	1689	844	1	1105	65.42
9	817	408	8	543	66.46
Total	10000	4998		6031	60.31


x = 1
0	489	489	0	421	86.09
1	474	474	0	432	91.14
2	926	926	6	797	86.07
3	1564	1564	4	562	35.93
4	895	895	3	487	54.41
5	780	780	2	706	90.51
6	1448	1448	7	614	42.40
7	918	918	3	377	41.07
8	1689	1689	1	1105	65.42
9	817	817	8	543	66.46
Total	10000	10000		6044	60.44


