x = 0.05
0	487	24	0	442	90.76
1	1663	83	1	1109	66.69
2	811	40	2	712	87.79
3	539	26	0	425	78.85
4	882	44	4	378	42.86
5	1042	52	8	563	54.03
6	873	43	6	753	86.25
7	1328	66	9	482	36.30
8	1355	67	3	713	52.62
9	1020	51	7	410	40.20
Total	10000	496		5987	59.87


x = 0.1
0	487	48	0	442	90.76
1	1663	166	1	1109	66.69
2	811	81	2	712	87.79
3	539	53	0	425	78.85
4	882	88	4	378	42.86
5	1042	104	8	563	54.03
6	873	87	6	753	86.25
7	1328	132	9	482	36.30
8	1355	135	3	713	52.62
9	1020	102	7	410	40.20
Total	10000	996		5987	59.87


x = 0.5
0	487	243	0	442	90.76
1	1663	831	1	1109	66.69
2	811	405	2	712	87.79
3	539	269	0	425	78.85
4	882	441	4	378	42.86
5	1042	521	8	563	54.03
6	873	436	6	753	86.25
7	1328	664	9	482	36.30
8	1355	677	3	713	52.62
9	1020	510	7	410	40.20
Total	10000	4997		5987	59.87


x = 1
0	487	487	0	442	90.76
1	1663	1663	1	1109	66.69
2	811	811	2	712	87.79
3	539	539	0	425	78.85
4	882	882	4	378	42.86
5	1042	1042	8	563	54.03
6	873	873	6	753	86.25
7	1328	1328	9	482	36.30
8	1355	1355	3	713	52.62
9	1020	1020	7	410	40.20
Total	10000	10000		5987	59.87


